trial_index,pair,sublattice,element,Z,frac_on_site,stoich_count,zt,formula
0,83 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3
0,83 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3
1,83 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3
1,83 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3
2,83 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3
2,83 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3
3,83 × 34,A,Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
3,83 × 34,X,Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
4,83 × 34,A,Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
4,83 × 34,X,Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
5,83 × 34,A,Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
5,83 × 34,X,Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3
6,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
6,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
7,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
7,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
8,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
8,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
9,51 × 34,A,Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
9,51 × 34,X,Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
10,51 × 34,A,Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
10,51 × 34,X,Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
11,51 × 34,A,Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
11,51 × 34,X,Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3
12,83-50 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00Sn0.00)2(Te0.88Se0.12)3
12,83-50 × 52-34,A,Sn,50,0.0,0.0,0.4341936562859043,(Bi1.00Sn0.00)2(Te0.88Se0.12)3
12,83-50 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00Sn0.00)2(Te0.88Se0.12)3
12,83-50 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00Sn0.00)2(Te0.88Se0.12)3
13,83-50-82 × 52-34,A,Bi,83,0.58,1.16,0.08217407121511666,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3
13,83-50-82 × 52-34,A,Sn,50,0.12,0.24,0.08217407121511666,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3
13,83-50-82 × 52-34,A,Pb,82,0.3,0.6,0.08217407121511666,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3
13,83-50-82 × 52-34,X,Te,52,0.37999999999999995,1.14,0.08217407121511666,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3
13,83-50-82 × 52-34,X,Se,34,0.62,1.86,0.08217407121511666,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3
14,51 × 52-34,A,Sb,51,1.0,2.0,0.31025331988132593,(Sb1.00)2(Te0.52Se0.48)3
14,51 × 52-34,X,Te,52,0.52,1.56,0.31025331988132593,(Sb1.00)2(Te0.52Se0.48)3
14,51 × 52-34,X,Se,34,0.48,1.44,0.31025331988132593,(Sb1.00)2(Te0.52Se0.48)3
15,51-50 × 52,A,Sb,51,0.7,1.4,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
15,51-50 × 52,A,Sn,50,0.3,0.6,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
15,51-50 × 52,X,Te,52,1.0,3.0,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
16,82 × 16,A,Pb,82,1.0,2.0,0.05615635964928556,(Pb1.00)2(S1.00)3
16,82 × 16,X,S,16,1.0,3.0,0.05615635964928556,(Pb1.00)2(S1.00)3
17,83-50 × 16,A,Bi,83,0.7,1.4,0.10854962983441938,(Bi0.70Sn0.30)2(S1.00)3
17,83-50 × 16,A,Sn,50,0.3,0.6,0.10854962983441938,(Bi0.70Sn0.30)2(S1.00)3
17,83-50 × 16,X,S,16,1.0,3.0,0.10854962983441938,(Bi0.70Sn0.30)2(S1.00)3
18,83-51 × 16,A,Bi,83,1.0,2.0,0.03689870347663787,(Bi1.00Sb0.00)2(S1.00)3
18,83-51 × 16,A,Sb,51,0.0,0.0,0.03689870347663787,(Bi1.00Sb0.00)2(S1.00)3
18,83-51 × 16,X,S,16,1.0,3.0,0.03689870347663787,(Bi1.00Sb0.00)2(S1.00)3
19,83-50 × 34-16,A,Bi,83,0.7,1.4,0.12719864410630066,(Bi0.70Sn0.30)2(Se0.50S0.50)3
19,83-50 × 34-16,A,Sn,50,0.3,0.6,0.12719864410630066,(Bi0.70Sn0.30)2(Se0.50S0.50)3
19,83-50 × 34-16,X,Se,34,0.5,1.5,0.12719864410630066,(Bi0.70Sn0.30)2(Se0.50S0.50)3
19,83-50 × 34-16,X,S,16,0.5,1.5,0.12719864410630066,(Bi0.70Sn0.30)2(Se0.50S0.50)3
20,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
20,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
21,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
21,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
22,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
22,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
23,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
23,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
24,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
24,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
25,50-82-49 × 52,A,Sn,50,0.4,0.8,0.06872608334086278,(Sn0.40Pb0.40In0.20)2(Te1.00)3
25,50-82-49 × 52,A,Pb,82,0.4,0.8,0.06872608334086278,(Sn0.40Pb0.40In0.20)2(Te1.00)3
25,50-82-49 × 52,A,In,49,0.2,0.4,0.06872608334086278,(Sn0.40Pb0.40In0.20)2(Te1.00)3
25,50-82-49 × 52,X,Te,52,1.0,3.0,0.06872608334086278,(Sn0.40Pb0.40In0.20)2(Te1.00)3
26,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
26,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
27,83-50 × 52-34,A,Bi,83,0.98,1.96,0.13229932740585476,(Bi0.98Sn0.02)2(Te0.00Se1.00)3
27,83-50 × 52-34,A,Sn,50,0.02,0.04,0.13229932740585476,(Bi0.98Sn0.02)2(Te0.00Se1.00)3
27,83-50 × 52-34,X,Te,52,0.0,0.0,0.13229932740585476,(Bi0.98Sn0.02)2(Te0.00Se1.00)3
27,83-50 × 52-34,X,Se,34,1.0,3.0,0.13229932740585476,(Bi0.98Sn0.02)2(Te0.00Se1.00)3
28,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
28,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
29,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
29,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
30,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
30,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
31,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
31,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
32,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
32,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
33,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
33,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
34,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
34,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
35,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
35,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
36,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
36,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
37,83-50 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00Sn0.00)2(Te1.00)3
37,83-50 × 52,A,Sn,50,0.0,0.0,0.193306631144729,(Bi1.00Sn0.00)2(Te1.00)3
37,83-50 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00Sn0.00)2(Te1.00)3
38,83-51-82 × 52,A,Bi,83,0.36,0.72,0.13184834954552113,(Bi0.36Sb0.34Pb0.30)2(Te1.00)3
38,83-51-82 × 52,A,Sb,51,0.34,0.68,0.13184834954552113,(Bi0.36Sb0.34Pb0.30)2(Te1.00)3
38,83-51-82 × 52,A,Pb,82,0.3,0.6,0.13184834954552113,(Bi0.36Sb0.34Pb0.30)2(Te1.00)3
38,83-51-82 × 52,X,Te,52,1.0,3.0,0.13184834954552113,(Bi0.36Sb0.34Pb0.30)2(Te1.00)3
39,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
39,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
39,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
40,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
40,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
40,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
41,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
41,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
42,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
42,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
43,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
