trial_index,arm_name,cat_set,an_set,lc0,lc1,lc2,la0,la1,la2,formula,zt,zt_sem,pair
0,0_0,83,52,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,,83 × 52
1,1_0,83,52,6.0,0.0,0.0,6.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,,83 × 52
2,0_0,83,52,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,,83 × 52
3,3_0,83,34,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,,83 × 34
4,4_0,83,34,6.0,0.0,0.0,6.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,,83 × 34
5,3_0,83,34,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,,83 × 34
6,6_0,51,52,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,,51 × 52
7,7_0,51,52,6.0,0.0,0.0,6.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,,51 × 52
8,6_0,51,52,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,,51 × 52
9,9_0,51,34,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,,51 × 34
10,10_0,51,34,6.0,0.0,0.0,6.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,,51 × 34
11,9_0,51,34,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,,51 × 34
12,12_0,83-50,52-34,0.015498161315917969,-5.004523426294327,-3.513593316078186,4.594526767730713,2.5404253005981445,-5.427577525377274,(Bi1.00Sn0.00)2(Te0.88Se0.12)3,0.4341936562859043,,83-50 × 52-34
13,13_0,83-50-82,52-34,3.5404076166450977,0.43064164370298386,4.410646263509989,-1.1127202101051807,-0.6411692127585411,-3.1359807327389717,(Bi0.58Sn0.12Pb0.30)2(Te0.38Se0.62)3,0.08217407121511666,,83-50-82 × 52-34
14,14_0,51,52-34,5.488865286111832,-4.763306871056557,-5.990715745836496,-4.183178354054689,-4.258552696555853,-3.4559761583805084,(Sb1.00)2(Te0.52Se0.48)3,0.31025331988132593,,51 × 52-34
15,15_0,51-50,52,-5.4469651915133,-3.691076450049877,-5.8384134247899055,4.952176138758659,2.161944307386875,-4.183231484144926,(Sb0.70Sn0.30)2(Te1.00)3,0.34625455645103825,,51-50 × 52
16,16_0,82,16,-3.619630180299282,-5.964942868798971,0.4118235893547535,1.5018503107130527,1.867545235902071,-3.2701559364795685,(Pb1.00)2(S1.00)3,0.05615635964928556,,82 × 16
17,17_0,83-50,16,-2.8502477779984474,-1.9742782451212406,-3.4455212764441967,4.010777983814478,3.9368703849613667,-1.3958781212568283,(Bi0.70Sn0.30)2(S1.00)3,0.10854962983441938,,83-50 × 16
18,18_0,83-51,16,2.8345584757626057,-5.988659027963877,-2.8900646790862083,4.848633281886578,-3.952970702201128,5.2179113030433655,(Bi1.00Sb0.00)2(S1.00)3,0.03689870347663787,,83-51 × 16
