trial_index,arm_name,sublattice,element,Z,frac_on_site,stoich_count,zt,formula,cat_set,an_set
0,0_0,A (cation),Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
0,0_0,X (anion),Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
1,1_0,A (cation),Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
1,1_0,X (anion),Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
2,0_0,A (cation),Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
2,0_0,X (anion),Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3,83,52
3,3_0,A (cation),Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
3,3_0,X (anion),Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
4,4_0,A (cation),Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
4,4_0,X (anion),Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
5,3_0,A (cation),Bi,83,1.0,2.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
5,3_0,X (anion),Se,34,1.0,3.0,0.08418504250529618,(Bi1.00)2(Se1.00)3,83,34
6,6_0,A (cation),Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
6,6_0,X (anion),Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
7,7_0,A (cation),Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
7,7_0,X (anion),Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
8,6_0,A (cation),Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
8,6_0,X (anion),Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3,51,52
9,9_0,A (cation),Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
9,9_0,X (anion),Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
10,10_0,A (cation),Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
10,10_0,X (anion),Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
11,9_0,A (cation),Sb,51,1.0,2.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
11,9_0,X (anion),Se,34,1.0,3.0,0.07996757135564514,(Sb1.00)2(Se1.00)3,51,34
12,12_0,A (cation),Bi,83,0.84,1.68,0.15370972670929453,(Bi0.84In0.16)2(Te0.42Se0.58)3,83-49,52-34
