trial_index,formula,cat_set,an_set,zt
80,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
96,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
86,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
81,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
85,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
87,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
84,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
83,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
89,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
90,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
71,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
91,(Bi0.08Sb0.92)2(Te1.00)3,83-51,52,0.9156094611614896
