temperature,zt
300,0.16 
400,0.32 
500,0.52 
600,0.73 
700,0.94 
800,1.30 
300,0.15 
400,0.31 
500,0.52 
600,0.71 
700,0.94 
800,1.35 
300,0.12 
400,0.28 
500,0.43 
600,0.63 
700,0.84 
800,1.16 
300,0.12 
400,0.27 
500,0.42 
600,0.58 
700,0.79 
800,1.06 
300,0.02 
350,0.03 
400,0.04 
450,0.06 
500,0.09 
550,0.13 
600,0.16 
650,0.20 
700,0.24 
300,0.03 
350,0.04 
400,0.07 
450,0.11 
500,0.19 
550,0.25 
600,0.31 
650,0.39 
700,0.48 
300,0.05 
350,0.07 
400,0.11 
450,0.17 
500,0.25 
550,0.33 
600,0.40 
650,0.50 
700,0.65 
300,0.01 
350,0.02 
400,0.04 
450,0.05 
500,0.07 
550,0.10 
600,0.13 
650,0.16 
700,0.19 
323 ,0.37 
698 ,1.04 
373 ,0.49 
423 ,0.60 
473 ,0.67 
523 ,0.76 
598 ,0.86 
623 ,0.89 
648 ,0.93 
673 ,0.97 
323 ,0.41 
423 ,0.76 
473 ,0.79 
523 ,0.88 
573 ,1.00 
598 ,1.15 
623 ,1.27 
648 ,1.36 
698 ,1.53 
330,0.06 
405,0.11 
480,0.22 
518,0.23 
330,0.07 
405,0.17 
480,0.37 
518,0.47 
330,0.07 
405,0.17 
480,0.32 
518,0.42 
330,0.13 
405,0.22 
480,0.38 
518,0.42 
410,0.19 
300,0.29 
425,0.35 
350,0.39 
450,0.39 
359,0.44 
365,0.48 
375,0.59 
385,0.86 
400,2.28 
300,0.21 
385,0.27 
400,0.28 
410,0.29 
425,0.32 
375,0.33 
450,0.35 
365,0.38 
350,0.48 
359,0.84 
300,0.19 
385,0.22 
400,0.26 
410,0.28 
425,0.31 
450,0.35 
350,0.38 
359,0.46 
365,0.52 
375,0.74 
320,0.11 
363,0.14 
410,0.19 
457,0.24 
503,0.30 
600,0.37 
550,0.38 
818,0.73 
720,0.74 
329 ,0.03 
413 ,0.09 
509 ,0.19 
607 ,0.37 
703 ,0.48 
522,0.04 
475,0.05 
426,0.06 
377,0.06 
330,0.07 
300,0.07 
300,0.24 
350,0.32 
400,0.42 
450,0.51 
500,0.60 
550,0.70 
600,0.81 
650,0.90 
700,0.99 
750,1.07 
800,1.13 
850,1.22 
300,0.30 
350,0.39 
400,0.49 
450,0.59 
500,0.71 
550,0.81 
600,0.92 
650,1.03 
700,1.12 
750,1.17 
800,1.26 
850,1.28 
300,0.23 
350,0.31 
400,0.39 
450,0.48 
500,0.55 
550,0.65 
600,0.74 
650,0.83 
700,0.90 
750,0.97 
800,1.01 
850,1.02 
300,0.29 
350,0.38 
400,0.47 
450,0.56 
500,0.69 
550,0.79 
600,0.87 
650,0.97 
700,1.09 
750,1.18 
800,1.23 
850,1.34 
373,0.07 
573,0.24 
773,0.47 
973,0.71 
1163,0.90 
325,0.04 
525,0.12 
725,0.27 
925,0.51 
1125,0.74 
400,0.22 
700,0.27 
500,0.27 
600,0.28 
300,0.02 
500,0.05 
700,0.11 
900,0.22 
1000,0.28 
300,0.01 
500,0.03 
700,0.08 
900,0.15 
1000,0.19 
300,0.01 
500,0.03 
700,0.07 
900,0.13 
1000,0.16 
300,0.01 
500,0.02 
700,0.06 
900,0.11 
1000,0.13 
300,0.09 
373,0.18 
473,0.34 
573,0.52 
300,0.09 
373,0.17 
473,0.33 
573,0.50 
300,0.06 
373,0.12 
473,0.25 
573,0.42 
300,0.06 
373,0.12 
473,0.24 
573,0.38 
300,0.03 
373,0.07 
473,0.15 
573,0.24 
300,0.09 
373,0.17 
473,0.32 
573,0.51 
300,0.01 
373,0.02 
473,0.05 
573,0.10 
300,0.02 
390,0.04 
510,0.09 
600,0.13 
300,0.03 
390,0.06 
510,0.11 
600,0.16 
300,0.03 
390,0.06 
510,0.11 
600,0.15 
300,0.02 
390,0.04 
510,0.09 
600,0.13 
335,0.01 
377,0.02 
427,0.04 
473,0.06 
523,0.09 
572,0.14 
620,0.19 
668,0.25 
720,0.32 
770,0.43 
866,0.50 
323,0.16 
420,0.29 
517,0.47 
617,0.64 
715,0.81 
517,0.56 
617,0.75 
715,0.89 
323,0.16 
420,0.32 
517,0.51 
617,0.65 
715,0.81 
323,0.24 
420,0.44 
517,0.68 
715,1.03 
400 ,0.03 
600 ,0.08 
700 ,0.13 
800 ,0.18 
900 ,0.23 
1000 ,0.27 
1083 ,0.32 
500 ,0.49 
400 ,0.09 
500 ,0.16 
600 ,0.26 
700 ,0.40 
800 ,0.56 
900 ,0.74 
1000 ,0.91 
1083 ,1.03 
296,0.07 
375,0.12 
296,0.09 
375,0.17 
425,0.21 
478,0.23 
528,0.24 
577,0.37 
625,0.43 
675,0.53 
296,0.08 
375,0.13 
478,0.15 
425,0.15 
528,0.15 
577,0.27 
625,0.31 
675,0.37 
300 ,0.20 
400 ,0.32 
500 ,0.49 
600 ,0.67 
700 ,0.84 
800 ,1.00 
900 ,1.14 
1000 ,1.26 
1100 ,1.36 
1200 ,1.43 
400 ,0.20 
500 ,0.31 
300 ,0.19 
400 ,0.33 
500 ,0.50 
600 ,0.67 
700 ,0.85 
800 ,0.99 
900 ,1.13 
1000 ,1.25 
1100 ,1.36 
1200 ,1.46 
300 ,0.15 
400 ,0.30 
500 ,0.44 
600 ,0.58 
700 ,0.70 
300 ,0.11 
500 ,0.31 
900 ,0.71 
1100 ,0.77 
1000 ,0.77 
400 ,0.38 
500 ,0.56 
300 ,0.11 
400 ,0.21 
500 ,0.32 
600 ,0.41 
700 ,0.50 
800 ,0.59 
900 ,0.68 
1000 ,0.76 
323,0.03 
423,0.08 
523,0.17 
623,0.30 
723,0.48 
323,0.04 
423,0.09 
523,0.17 
623,0.29 
723,0.56 
323,0.05 
423,0.11 
523,0.18 
623,0.30 
723,0.58 
323,0.00 
423,0.01 
523,0.01 
623,0.02 
723,0.04 
300,0.18 
350,0.25 
400,0.34 
450,0.43 
500,0.52 
550,0.63 
600,0.70 
650,0.77 
300,0.20 
350,0.30 
400,0.39 
450,0.50 
500,0.60 
550,0.71 
600,0.80 
650,0.87 
300,0.21 
350,0.31 
400,0.41 
450,0.55 
500,0.69 
550,0.82 
600,0.96 
650,1.07 
300,0.12 
350,0.18 
400,0.24 
450,0.32 
500,0.40 
550,0.48 
600,0.57 
650,0.68 
300,0.19 
350,0.27 
400,0.36 
450,0.49 
500,0.61 
550,0.73 
600,0.82 
650,0.89 
350 ,0.53 
450 ,0.62 
550 ,0.82 
650 ,0.83 
600 ,0.87 
300 ,0.41 
350 ,0.52 
450 ,0.52 
550 ,0.71 
600 ,0.76 
300 ,0.42 
350 ,0.55 
450 ,0.60 
500 ,0.73 
650 ,0.76 
550 ,0.77 
600 ,0.79 
500 ,0.61 
550 ,0.61 
600 ,0.62 
650 ,0.63 
773,0.70 
305,0.16 
377,0.24 
473,0.34 
575,0.45 
676,0.59 
779,0.69 
885,0.81 
989,0.87 
305,0.15 
377,0.22 
473,0.31 
575,0.42 
676,0.53 
779,0.63 
885,0.77 
989,0.87 
1088,0.96 
305,0.17 
377,0.24 
480,0.35 
580,0.45 
682,0.59 
784,0.72 
885,0.83 
987,0.92 
1088,1.01 
305,0.14 
377,0.21 
473,0.30 
575,0.40 
676,0.49 
779,0.60 
885,0.71 
989,0.78 
1088,0.82 
422 ,0.06 
522 ,0.13 
622 ,0.21 
722 ,0.29 
822 ,0.39 
422 ,0.05 
522 ,0.11 
622 ,0.21 
722 ,0.29 
822 ,0.36 
422 ,0.10 
522 ,0.19 
822 ,0.44 
422 ,0.02 
522 ,0.05 
722 ,0.09 
822 ,0.10 
622 ,0.43 
722 ,0.51 
822 ,0.61 
922 ,0.68 
422 ,0.16 
522 ,0.28 
622 ,0.36 
922 ,0.40 
722 ,0.41 
822 ,0.43 
422 ,0.15 
522 ,0.27 
622 ,0.38 
722 ,0.48 
422 ,0.11 
820 ,0.12 
520 ,0.15 
620 ,0.16 
332,0.02 
470,0.08 
750,0.13 
565,0.13 
660,0.20 
332,0.01 
470,0.04 
565,0.10 
660,0.29 
750,0.57 
332,0.01 
470,0.03 
565,0.07 
660,0.15 
750,0.33 
332,0.00 
470,0.01 
565,0.04 
660,0.14 
750,0.25 
425 ,0.11 
525 ,0.17 
624 ,0.25 
724 ,0.32 
773 ,0.36 
425 ,0.07 
525 ,0.12 
624 ,0.18 
724 ,0.25 
773 ,0.27 
425 ,0.06 
525 ,0.12 
624 ,0.17 
724 ,0.23 
773 ,0.26 
425 ,0.12 
525 ,0.21 
624 ,0.31 
773 ,0.37 
724 ,0.37 
425 ,0.12 
525 ,0.21 
624 ,0.31 
724 ,0.37 
773 ,0.39 
624 ,0.01 
525 ,0.04 
425 ,0.04 
300,0.30 
923,0.91 
323 ,0.11 
373 ,0.19 
473 ,0.47 
523 ,0.68 
623 ,1.05 
673 ,1.12 
723 ,1.20 
323 ,0.09 
623 ,1.02 
673 ,1.14 
723 ,1.25 
323 ,0.04 
373 ,0.08 
423 ,0.16 
523 ,0.39 
473 ,0.52 
573 ,0.57 
623 ,0.72 
673 ,0.89 
723 ,0.96 
323,0.00 
523,0.00 
723,0.00 
923,0.02 
323,0.04 
523,0.06 
723,0.13 
923,0.26 
323,0.03 
523,0.08 
723,0.33 
923,0.79 
323,0.01 
523,0.03 
723,0.14 
923,0.53 
300,0.10 
500,0.28 
700,0.49 
900,0.78 
300,0.12 
500,0.30 
700,0.46 
900,0.67 
300,0.13 
500,0.30 
700,0.45 
900,0.65 
300,0.07 
500,0.23 
700,0.38 
900,0.47 
300,0.10 
400,0.23 
500,0.44 
600,0.73 
300,0.05 
400,0.11 
500,0.23 
600,0.41 
300,0.23 
400,0.35 
600,0.36 
500,0.40 
300,0.04 
400,0.06 
500,0.08 
600,0.14 
300,0.00 
373,0.00 
473,0.01 
573,0.01 
673,0.02 
773,0.03 
873,0.05 
973,0.07 
1073,0.07 
1173,0.08 
300,0.01 
373,0.02 
473,0.03 
573,0.05 
673,0.07 
773,0.09 
873,0.12 
973,0.16 
1073,0.19 
1173,0.23 
300,0.00 
373,0.00 
473,0.01 
573,0.01 
673,0.02 
773,0.03 
873,0.05 
973,0.07 
1073,0.08 
1173,0.09 
300,0.01 
773,0.10 
973,0.17 
1073,0.20 
1173,0.25 
300,0.01 
473,0.04 
573,0.06 
673,0.09 
773,0.11 
300,0.01 
373,0.02 
473,0.03 
573,0.05 
673,0.08 
773,0.11 
873,0.15 
973,0.18 
1073,0.23 
1173,0.28 
300,0.01 
373,0.02 
473,0.03 
573,0.04 
673,0.08 
773,0.11 
873,0.14 
973,0.18 
1073,0.22 
1173,0.27 
300,0.01 
373,0.02 
473,0.04 
573,0.05 
673,0.07 
773,0.10 
873,0.14 
973,0.17 
1073,0.22 
1173,0.25 
300,0.00 
373,0.00 
473,0.00 
573,0.01 
673,0.01 
773,0.03 
873,0.04 
973,0.05 
1073,0.07 
1173,0.08 
325,0.04 
375,0.06 
425,0.09 
475,0.13 
525,0.17 
625,0.18 
575,0.23 
670,0.35 
425,0.08 
475,0.10 
525,0.13 
575,0.18 
625,0.19 
670,0.34 
325,0.04 
375,0.06 
425,0.08 
475,0.10 
525,0.15 
575,0.25 
718,0.57 
768,0.61 
818,0.71 
868,0.83 
325,0.01 
375,0.03 
718,0.38 
775,0.43 
818,0.53 
868,0.58 
300 ,0.09 
673 ,0.76 
773 ,0.91 
873 ,1.09 
373 ,0.16 
473 ,0.31 
573 ,0.47 
673 ,0.72 
773 ,0.99 
873 ,1.22 
298 ,0.07 
373 ,0.11 
473 ,0.25 
573 ,0.40 
673 ,0.60 
773 ,0.81 
873 ,1.01 
298 ,0.08 
373 ,0.14 
473 ,0.30 
573 ,0.46 
673 ,0.67 
773 ,0.85 
873 ,1.06 
373 ,0.11 
473 ,0.22 
573 ,0.37 
773 ,0.75 
373 ,0.10 
473 ,0.19 
573 ,0.30 
673 ,0.49 
773 ,0.69 
873 ,0.94 
573 ,0.26 
673 ,0.41 
773 ,0.58 
873 ,0.87 
373 ,0.06 
473 ,0.10 
573 ,0.15 
673 ,0.28 
773 ,0.42 
873 ,0.59 
298 ,0.04 
373 ,0.05 
473 ,0.07 
573 ,0.11 
673 ,0.16 
773 ,0.24 
873 ,0.32 
323,0.18 
514,0.30 
418,0.31 
612,0.38 
660,0.44 
710,0.49 
757,0.58 
323,0.07 
423,0.15 
